# Constructed from biom file																			
	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	ConsensusLineage
160882	0	0.666666667	0	0	1	0	0.333333333	0	0	0	0	0	0	2.666666667	0	0.333333333	0	0.666666667	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
2524288	0	0	0	0.333333333	0.333333333	0	0	0	0	0	0	0	0	0	0.333333333	0	0.333333333	0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__
130877	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0.666666667	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
4378791	0.666666667	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0.666666667	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
1800149	0	0	0	0	0	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Planctomycetes; c__OM190; o__agg27; f__; g__; s__
4444622	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	1	0	k__Bacteria; p__Chloroflexi; c__S085; o__; f__; g__; s__
350772	0	0.666666667	1.5	0	0	0	0	0.333333333	0	0	0	0.333333333	0	0	0.333333333	0.666666667	0	0	k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__
4483172	7.666666667	10.66666667	3.5	0.666666667	4.666666667	0.666666667	1.333333333	12	2.666666667	0.666666667	1.333333333	0.666666667	5.333333333	1.333333333	3	2	1.666666667	6	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
813522	0.333333333	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
4400615	0	0	0	0	0	0	0	0	0	0.333333333	4	0	0	0.333333333	0.666666667	0.333333333	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Flavisolibacter; s__
